start,stop,most_anomalous_start,scores,control_scores,cluster,label
2022-09-25T18:50:06.375000Z,2022-09-25T18:55:56.375000Z,2022-09-25T18:54:16.375000Z,0.6303511432504431,0.5226519037405065,1,
2022-09-25T11:47:33.405000Z,2022-09-25T11:53:23.405000Z,2022-09-25T11:51:43.405000Z,0.6275555563912468,0.5258234356325469,1,
2022-09-25T12:32:04.350000Z,2022-09-25T12:37:54.350000Z,2022-09-25T12:32:04.350000Z,0.6248973002305515,0.5246326961902433,1,
2022-09-25T13:53:21.405000Z,2022-09-25T13:59:11.405000Z,2022-09-25T13:57:31.405000Z,0.6246145074937848,0.5289222613877753,1,
2022-09-25T19:35:41.395000Z,2022-09-25T19:39:51.395000Z,2022-09-25T19:35:41.395000Z,0.6244543812333212,0.5762150924735864,1,
2022-09-25T15:09:34.405000Z,2022-09-25T15:15:24.405000Z,2022-09-25T15:12:54.405000Z,0.6219975554358739,0.534735038683435,1,
2022-11-09T13:37:30.000000Z,2022-11-09T13:40:50.000000Z,2022-11-09T13:37:30.000000Z,0.6192069664012717,0.4377449183297527,1,
2022-09-25T11:54:05.345000Z,2022-09-25T12:00:45.345000Z,2022-09-25T11:56:35.345000Z,0.6190958731381071,0.5132023082522443,1,
2022-12-04T19:43:22.440000Z,2022-12-04T19:48:22.440000Z,2022-12-04T19:43:22.440000Z,0.6190192115030874,0.5533088763082404,1,
2022-09-26T00:20:40.380000Z,2022-09-26T00:24:50.380000Z,2022-09-26T00:21:30.380000Z,0.618291901349645,0.5269315815965994,1,
2022-09-25T12:17:14.385000Z,2022-09-25T12:23:04.385000Z,2022-09-25T12:17:14.385000Z,0.617752173732024,0.5263725854067667,1,
2023-10-02T20:16:49.415000Z,2023-10-02T20:20:59.415000Z,2023-10-02T20:16:49.415000Z,0.617425449489798,0.458551081826093,1,
2022-09-25T13:00:47.390000Z,2022-09-25T13:07:27.390000Z,2022-09-25T13:05:47.390000Z,0.6173742079753247,0.5163754016727525,1,
2022-09-25T17:44:46.405000Z,2022-09-25T17:49:46.405000Z,2022-09-25T17:45:36.405000Z,0.6168262442642432,0.5670378139208847,1,
2022-12-02T08:00:49.350000Z,2022-12-02T08:04:59.350000Z,2022-12-02T08:01:39.350000Z,0.6164838199478767,0.5818551141291931,1,
2023-10-02T17:29:19.415000Z,2023-10-02T17:31:49.415000Z,2023-10-02T17:29:19.415000Z,0.616410683127409,0.4398854396565064,1,
2022-09-26T01:12:14.365000Z,2022-09-26T01:16:24.365000Z,2022-09-26T01:12:14.365000Z,0.6162356129008044,0.4933060755505941,1,
2022-11-02T21:52:30.000000Z,2022-11-02T21:59:10.000000Z,2022-11-02T21:52:30.000000Z,0.615825099559153,0.4856814999877358,1,
2023-10-14T03:45:50.000000Z,2023-10-14T03:50:00.000000Z,2023-10-14T03:46:40.000000Z,0.615668803022897,0.5448699336393952,1,
2022-09-25T13:37:46.395000Z,2022-09-25T13:44:26.395000Z,2022-09-25T13:38:36.395000Z,0.6145068055750288,0.5324948445993224,1,
2022-12-04T11:18:22.440000Z,2022-12-04T11:20:52.440000Z,2022-12-04T11:18:22.440000Z,0.6128890689520332,0.5597857869109051,1,TEQ
2022-12-24T13:52:30.000000Z,2022-12-24T13:55:00.000000Z,2022-12-24T13:52:30.000000Z,0.6125768082799852,0.5054909840309677,1,
2022-10-14T22:23:15.350000Z,2022-10-14T22:29:05.350000Z,2022-10-14T22:24:05.350000Z,0.612177042920558,0.4999307927626261,1,
2022-09-26T00:32:49.390000Z,2022-09-26T00:39:29.390000Z,2022-09-26T00:36:59.390000Z,0.6119289614233528,0.5158848596672244,1,
2022-09-25T11:39:21.380000Z,2022-09-25T11:46:01.380000Z,2022-09-25T11:41:01.380000Z,0.611218512433256,0.5077881705632934,1,
2022-12-24T16:42:30.000000Z,2022-12-24T16:45:50.000000Z,2022-12-24T16:42:30.000000Z,0.6107162050622872,0.5160976402327886,1,
2022-09-26T01:29:29.375000Z,2022-09-26T01:31:09.375000Z,2022-09-26T01:29:29.375000Z,0.6104788500521297,0.492006931913052,1,N
2022-09-25T19:20:13.345000Z,2022-09-25T19:25:13.345000Z,2022-09-25T19:20:13.345000Z,0.6101036365073407,0.5606934620909567,1,
2023-10-13T18:58:20.000000Z,2023-10-13T19:01:40.000000Z,2023-10-13T18:58:20.000000Z,0.6095802945340127,0.563774568048176,1,
2022-12-24T20:41:40.000000Z,2022-12-24T20:44:10.000000Z,2022-12-24T20:41:40.000000Z,0.6095419356945178,0.5306614583828972,1,
2022-09-26T01:39:17.340000Z,2022-09-26T01:45:57.340000Z,2022-09-26T01:40:07.340000Z,0.6094778398186425,0.5123426841376981,1,
2022-11-03T06:35:50.000000Z,2022-11-03T06:43:20.000000Z,2022-11-03T06:35:50.000000Z,0.6088219209057104,0.4675330183567953,1,
2022-09-26T00:26:19.360000Z,2022-09-26T00:32:09.360000Z,2022-09-26T00:26:19.360000Z,0.6086535362532464,0.5180382112321444,1,
2022-12-24T07:55:00.000000Z,2022-12-24T08:00:50.000000Z,2022-12-24T07:55:00.000000Z,0.6086301805442604,0.4925009892736614,1,
2022-12-14T11:26:40.000000Z,2022-12-14T11:30:50.000000Z,2022-12-14T11:26:40.000000Z,0.6086271958700293,0.4678932679113539,1,
2022-10-20T23:05:45.350000Z,2022-10-20T23:11:35.350000Z,2022-10-20T23:05:45.350000Z,0.6085298754080504,0.5271021715863196,1,
2022-10-18T16:28:15.350000Z,2022-10-18T16:30:45.350000Z,2022-10-18T16:28:15.350000Z,0.6081875554825654,0.5393406010025152,1,
2022-12-24T13:55:50.000000Z,2022-12-24T14:01:40.000000Z,2022-12-24T13:56:40.000000Z,0.6079381919381344,0.5207844373839051,1,
2023-10-10T05:21:40.000000Z,2023-10-10T05:25:00.000000Z,2023-10-10T05:21:40.000000Z,0.6078887253826782,0.518729850354606,1,
2022-09-25T11:20:34.345000Z,2022-09-25T11:23:54.345000Z,2022-09-25T11:21:24.345000Z,0.6075633157559194,0.5141261906938682,1,
2022-09-26T00:03:26.415000Z,2022-09-26T00:10:06.415000Z,2022-09-26T00:03:26.415000Z,0.6074732737959397,0.5302735254873974,1,
2022-12-24T15:27:30.000000Z,2022-12-24T15:34:10.000000Z,2022-12-24T15:31:40.000000Z,0.6074074244802802,0.516799182728093,1,
2022-10-18T15:11:35.350000Z,2022-10-18T15:14:55.350000Z,2022-10-18T15:11:35.350000Z,0.6073205890721347,0.5662749481612127,1,
2022-10-20T12:08:15.350000Z,2022-10-20T12:10:45.350000Z,2022-10-20T12:08:15.350000Z,0.6069636547266967,0.5716134338791732,1,
2022-09-26T02:16:23.390000Z,2022-09-26T02:23:03.390000Z,2022-09-26T02:16:23.390000Z,0.6066936272746769,0.5314046108598752,1,
2022-10-14T12:26:35.350000Z,2022-10-14T12:30:45.350000Z,2022-10-14T12:26:35.350000Z,0.6065731185808327,0.4809960236632185,1,
2023-09-05T12:26:40.000000Z,2023-09-05T12:31:40.000000Z,2023-09-05T12:26:40.000000Z,0.6065387628211563,0.5033728841522491,1,
2022-10-14T22:53:15.350000Z,2022-10-14T22:58:15.350000Z,2022-10-14T22:54:05.350000Z,0.6065290313954484,0.4862983100863538,1,
2022-12-10T00:27:00.390000Z,2022-12-10T00:32:00.390000Z,2022-12-10T00:27:00.390000Z,0.6064983748695443,0.4812320508447071,1,
2023-09-05T12:03:20.000000Z,2023-09-05T12:05:50.000000Z,2023-09-05T12:03:20.000000Z,0.6063142026211648,0.4843792370854889,1,
2022-12-07T11:18:20.000000Z,2022-12-07T11:20:50.000000Z,2022-12-07T11:18:20.000000Z,0.6063084134655915,0.5026393246529455,1,
2022-09-26T01:47:30.415000Z,2022-09-26T01:53:20.415000Z,2022-09-26T01:47:30.415000Z,0.6061676117267735,0.4970819827985604,1,
