,Unnamed: 0,station,channel,start,stop,confidence,Notes
228,228,ILL17,EHZ,2020-08-30 10:06:34+07:00,2020-08-30 10:21:34+07:00,low," ""This is torrential activity associated with the previous debris flow."""
229,229,ILL16,EHZ,2020-09-01 00:00:02+00:00,2020-09-01 00:16:42+00:00,low,slope activity
230,230,ILL11,HHZ,2021-05-11 04:02:00+00:00,2021-05-11 14:07:00+00:00,med,
231,231,ILL11,HHZ,2021-05-11 14:09:00+00:00,2021-05-11 16:40:00+00:00,high,
232,232,ILL13,EHZ,2021-05-11 03:25:00+00:00,2021-05-11 13:52:00+00:00,med,
233,233,ILL13,EHZ,2021-05-11 14:09:00+00:00,2021-05-11 16:38:00+00:00,high,
234,234,ILL18,EHZ,2021-05-11 13:52:00+00:00,2021-05-11 16:58:00+00:00,high,
235,235,ILL11,HHZ,2021-05-12 03:58:00+00:00,2021-05-12 09:38:00+00:00,low,
236,236,ILL13,EHZ,2021-05-12 02:59:00+00:00,2021-05-12 09:34:00+00:00,low,
237,237,ILL11,HHZ,2021-05-16 16:21:00+00:00,2021-05-16 20:30:00+00:00,high,
238,238,ILL13,EHZ,2021-05-16 16:15:00+00:00,2021-05-16 20:10:00+00:00,high,
239,239,ILL18,EHZ,2021-05-16 15:46:00+00:00,2021-05-16 20:36:00+00:00,high,
240,240,ILL11,HHZ,2021-05-21 23:11:00+00:00,2021-05-22 00:25:00+00:00,high,
241,241,ILL13,EHZ,2021-05-21 22:49:00+00:00,2021-05-22 00:28:00+00:00,high,
242,242,ILL14,EHZ,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,high,
243,243,ILL17,EHZ,2021-05-21 22:40:00+00:00,2021-05-22 00:38:00+00:00,high,
244,244,ILL18,EHZ,2021-05-21 22:43:00+00:00,2021-05-22 00:20:00+00:00,high,
245,245,ILL14,EHZ,2021-05-23 00:07:57+00:00,2021-05-23 00:12:57+00:00,low,"Likely strong activity in the upper catchment, although no debris flow made it to the Rhone Vally."
