,station,start,stop,confidence
24,ILL16,2022-07-04 21:39:00+00:00,2022-07-04 22:21:00+00:00,1
25,ILL16,2022-09-08 00:37:00+00:00,2022-09-08 01:27:00+00:00,1
26,ILL17,2022-06-05 11:04:00+00:00,2022-06-05 12:00:00+00:00,1
27,ILL17,2022-06-30 20:12:00+00:00,2022-06-30 21:16:00+00:00,1
28,ILL17,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
29,ILL17,2022-07-04 21:40:00+00:00,2022-07-04 22:30:00+00:00,1
30,ILL17,2022-09-08 00:38:00+00:00,2022-09-08 01:31:00+00:00,1
31,ILL18,2022-06-30 20:21:00+00:00,2022-06-30 21:16:00+00:00,1
32,ILL18,2022-07-04 06:59:00+00:00,2022-07-04 06:59:00+00:00,earthquake
33,ILL18,2022-07-04 21:40:00+00:00,2022-07-04 22:18:00+00:00,1
34,ILL01,2017-05-19 03:53:00+00:00,2017-05-19 18:18:00+00:00,1
35,ILL01,2017-05-19 03:57:00+00:00,2017-05-19 15:46:00+00:00,1
36,ILL01,2017-05-29 16:55:00+00:00,2017-05-29 18:00:00+00:00,1
37,ILL01,2017-06-03 23:23:00+00:00,2017-06-03 23:56:00+00:00,1
38,ILL01,2017-06-03 23:24:00+00:00,2017-06-03 23:59:00+00:00,1
39,ILL01,2017-06-14 19:19:00+00:00,2017-06-14 20:30:00+00:00,1
40,ILL02,2017-05-29 16:56:00+00:00,2017-05-29 17:44:00+00:00,1
41,ILL02,2017-06-03 23:19:00+00:00,2017-06-04 00:41:00+00:00,1
42,ILL02,2017-06-03 23:21:00+00:00,2017-06-04 00:19:00+00:00,1
43,ILL02,2017-06-14 19:17:00+00:00,2017-06-14 20:11:00+00:00,1
44,ILL03,2017-05-19 03:53:00+00:00,2017-05-19 15:26:00+00:00,1
45,ILL03,2017-05-19 04:26:00+00:00,2017-05-19 15:24:00+00:00,1
46,ILL03,2017-05-29 16:54:00+00:00,2017-05-29 17:58:00+00:00,1
47,ILL03,2017-06-03 23:12:00+00:00,2017-06-04 00:42:00+00:00,1
48,ILL03,2017-06-03 23:22:00+00:00,2017-06-04 00:08:00+00:00,1
49,ILL03,2017-06-14 19:27:00+00:00,2017-06-14 20:03:00+00:00,1
50,ILL04,2017-05-19 04:31:00+00:00,2017-05-19 13:22:00+00:00,0.1
51,ILL04,2017-05-19 10:50:00+00:00,2017-05-19 11:42:00+00:00,1
52,ILL04,2017-05-29 16:48:00+00:00,2017-05-29 17:59:00+00:00,1
53,ILL04,2017-06-03 23:12:00+00:00,2017-06-04 00:41:00+00:00,1
