station,channel,start,stop,confidence,Notes
ILL18,EHZ,2018-05-26 15:38:00+00:00,2018-05-26 16:49:16+00:00,0.1,"Perhaps some activity in the upper catchment, but uncertain."
ILL11,HHZ,2018-06-11 04:20:00+00:00,2018-06-11 15:27:00+00:00,0.1,
ILL12,EHZ,2018-06-11 10:35:00+00:00,2018-06-11 11:40:00+00:00,1,
ILL13,EHZ,2018-06-11 03:06:00+00:00,2018-06-11 15:42:00+00:00,0.1,
ILL17,EHZ,2018-06-11 10:05:00+00:00,2018-06-11 11:30:00+00:00,1,
ILL18,EHZ,2018-06-11 10:15:00+00:00,2018-06-11 11:01:30+00:00,1,
ILL11,HHZ,2018-06-12 19:05:00+00:00,2018-06-12 20:16:00+00:00,1,
ILL12,EHZ,2018-06-12 18:06:00+00:00,2018-06-12 20:23:00+00:00,1,
ILL17,EHZ,2018-06-12 17:19:00+00:00,2018-06-12 19:52:00+00:00,1,
ILL18,EHZ,2018-06-12 17:20:00+00:00,2018-06-12 20:03:00+00:00,1,
ILL17,EHZ,2018-06-16 08:11:10+00:00,2018-06-16 08:47:50+00:00,0.1,"Could be related to a slope failure, but very uncertain since no other stations show a clear signal."
ILL17,EHZ,2018-07-20 18:50:00+00:00,2018-07-20 19:01:40+00:00,0.1,"Probably catchment activity, but weak and only discernible when comparing with other stations."
ILL11,HHZ,2018-07-25 17:01:00+00:00,2018-07-25 17:39:00+00:00,1,
ILL12,EHZ,2018-07-25 16:51:00+00:00,2018-07-25 17:32:00+00:00,1,
ILL13,EHZ,2018-07-25 16:53:00+00:00,2018-07-25 17:41:00+00:00,1,
ILL14,EHZ,2018-07-25 16:48:00+00:00,2018-07-25 17:19:00+00:00,0.5,
ILL15,EHZ,2018-07-25 16:48:00+00:00,2018-07-25 17:17:00+00:00,0.5,
ILL16,EHZ,2018-07-25 16:48:00+00:00,2018-07-25 17:18:00+00:00,0.5,
ILL17,EHZ,2018-07-25 16:47:00+00:00,2018-07-25 17:29:00+00:00,1,
ILL18,EHZ,2018-07-25 16:48:00+00:00,2018-07-25 17:29:00+00:00,1,
ILL11,HHZ,2018-08-08 17:56:00+00:00,2018-08-08 18:21:00+00:00,1,
ILL12,EHZ,2018-08-08 17:46:00+00:00,2018-08-08 18:10:00+00:00,1,
ILL13,EHZ,2018-08-08 17:49:00+00:00,2018-08-08 18:20:00+00:00,1,
ILL14,EHZ,2018-08-08 17:43:00+00:00,2018-08-08 18:10:00+00:00,1,
ILL15,EHZ,2018-08-08 17:42:00+00:00,2018-08-08 18:03:00+00:00,1,
ILL16,EHZ,2018-08-08 17:42:00+00:00,2018-08-08 17:57:00+00:00,1,
ILL17,EHZ,2018-08-08 17:42:00+00:00,2018-08-08 17:58:00+00:00,1,
ILL18,EHZ,2018-08-08 17:43:00+00:00,2018-08-08 17:59:00+00:00,1,
ILL11,HHZ,2018-08-18 18:27:50+00:00,2018-08-18 18:54:20+00:00,0.5,"potentially Sagenschleif"
ILL12,EHZ,2018-08-18 17:52:00+00:00,2018-08-18 18:45:00+00:00,1,"potentially Sagenschleif"
ILL13,EHZ,2018-08-18 18:18:00+00:00,2018-08-18 18:52:00+00:00,0.5,"potentially Sagenschleif"
ILL18,EHZ,2018-10-29 14:10:20+00:00,2018-10-29 18:30:30+00:00,1,
ILL18,EHZ,2018-10-29 22:20:00+00:00,2018-10-29 23:59:10+00:00,1,
ILL18,EHZ,2019-03-15 00:48:47+00:00,2019-03-15 01:13:47+00:00,0.1,"Not sure what this is. Could be melt-related torrential discharge, but very low confidence."
ILL11,HHZ,2019-06-10 17:45:00+00:00,2019-06-10 19:04:00+00:00,1,
ILL12,EHZ,2019-06-10 17:16:00+00:00,2019-06-10 18:55:00+00:00,1,
ILL13,EHZ,2019-06-10 17:32:00+00:00,2019-06-10 19:10:00+00:00,1,
ILL14,EHZ,2019-06-10 17:11:00+00:00,2019-06-10 18:34:00+00:00,0.5,
ILL16,EHZ,2019-06-10 17:05:00+00:00,2019-06-10 18:32:00+00:00,1,
ILL17,EHZ,2019-06-10 17:10:00+00:00,2019-06-10 18:31:00+00:00,0.1,
ILL18,EHZ,2019-06-10 17:14:00+00:00,2019-06-10 18:34:00+00:00,0.5,
ILL11,HHZ,2019-06-10 22:20:00+00:00,2019-06-11 00:30:00+00:00,1,
ILL11,HHZ,2019-06-11 00:39:10+00:00,2019-06-11 01:25:50+00:00,0.1, "This signal is part of the post-debris-flow tail."
ILL12,EHZ,2019-06-10 22:00:00+00:00,2019-06-11 01:10:00+00:00,1,
ILL13,EHZ,2019-06-10 22:05:00+00:00,2019-06-11 00:01:00+00:00,1,
ILL16,EHZ,2019-06-10 22:05:00+00:00,2019-06-11 00:01:00+00:00,0.1,
ILL17,EHZ,2019-06-10 21:30:00+00:00,2019-06-11 01:00:00+00:00,1,
ILL18,EHZ,2019-06-10 21:30:00+00:00,2019-06-11 01:05:00+00:00,1,
ILL16,EHZ,2019-06-12 11:32:43+00:00,2019-06-12 11:42:43+00:00,0.1,"landslide"
ILL17,EHZ,2019-06-15 08:27:40+00:00,2019-06-15 09:31:50+00:00,0.1,"This could be related to slope failure, but no other station has associated concurrent signals. So I would attach a low confidence. On the other hand later that day similar signals appear, which are also visible at other stations."
ILL16,EHZ,2019-06-11 00:20:44+00:00,2019-06-11 00:34:54+00:00,0.1,"This is likely torrential activity, but I could not tell without looking at the other stations, as well."
ILL12,EHZ,2019-06-20 09:18:20+00:00,2019-06-20 10:25:00+00:00,1,
ILL16,EHZ,2019-06-20 08:53:20+00:00,2019-06-20 09:12:30+00:00,1,
ILL17,EHZ,2019-06-20T08:59:10+00:00,2019-06-20 09:14:10+00:00,1,"odd signal present at ILL13"
ILL18,EHZ,2019-06-20 08:53:20+00:00,2019-06-20 09:34:10+00:00,1,
ILL13,EHZ,2019-06-20 10:15:20+00:00,2019-06-20 11:25:00+00:00,1,
ILL14,EHZ,2019-06-20 08:45:00+00:00,2019-06-20 09:45:00+00:00,1,
ILL11,HHZ,2019-06-21 19:39:00+00:00,2019-06-21 20:40:00+00:00,1,
ILL12,EHZ,2019-06-21 19:31:00+00:00,2019-06-21 20:36:00+00:00,1,
ILL13,EHZ,2019-06-21 19:31:00+00:00,2019-06-21 20:40:00+00:00,1,
ILL14,EHZ,2019-06-21 19:26:00+00:00,2019-06-21 20:11:00+00:00,1,
ILL16,EHZ,2019-06-21 19:26:00+00:00,2019-06-21 19:53:00+00:00,1,
ILL17,EHZ,2019-06-21 19:26:00+00:00,2019-06-21 20:16:00+00:00,1,
ILL18,EHZ,2019-06-21 19:28:00+00:00,2019-06-21 20:18:00+00:00,1,
ILL11,HHZ,2019-07-01 23:23:00+00:00,2019-07-02 00:26:00+00:00,1,
ILL12,EHZ,2019-07-01 23:10:00+00:00,2019-07-02 00:19:00+00:00,1,
ILL13,EHZ,2019-07-01 23:19:00+00:00,2019-07-02 00:26:00+00:00,1,
ILL14,EHZ,2019-07-01 22:53:00+00:00,2019-07-02 00:10:00+00:00,1,
ILL16,EHZ,2019-07-01 23:09:00+00:00,2019-07-02 00:08:00+00:00,1,
ILL17,EHZ,2019-07-01 22:54:00+00:00,2019-07-02 00:07:00+00:00,1,
ILL18,EHZ,2019-07-01 22:53:00+00:00,2019-07-01 23:59:00+00:00,1,
ILL11,HHZ,2019-07-02 22:28:20+00:00,2019-07-02 22:33:20+00:00,0.1,"Pre debris-flow signal - Water discharge.  Interesting signal at 23:14 ~ Local/Regional earthquake at Sion magnitude 2.0"
ILL11,HHZ,2019-07-02 22:38:00+00:00,2019-07-02 23:28:00+00:00,1,
ILL12,EHZ,2019-07-02 22:10:00+00:00,2019-07-02 22:40:00+00:00,1,
ILL13,EHZ,2019-07-02 22:18:00+00:00,2019-07-02 23:11:00+00:00,1,
ILL14,EHZ,2019-07-02 22:08:00+00:00,2019-07-02 22:45:00+00:00,1,
ILL16,EHZ,2019-07-02 21:57:00+00:00,2019-07-02 22:23:00+00:00,1,
ILL17,EHZ,2019-07-02 22:00:00+00:00,2019-07-02 22:29:00+00:00,1,
ILL18,EHZ,2019-07-02 22:00:00+00:00,2019-07-02 22:33:00+00:00,1,
ILL18,EHZ,2019-07-03 16:25:00+00:00,2019-07-03 17:15:00+00:00,0.5,
ILL16,EHZ,2019-07-03 16:23:00+00:00,2019-07-03 16:30:00+00:00,0.1,
ILL17,EHZ,2019-07-03 16:25:00+00:00,2019-07-03 16:40:00+00:00,0.5,
ILL13,EHZ,2019-07-03 17:30:00+00:00,2019-07-03 17:50:00+00:00,0.5,
ILL12,EHZ,2019-07-03 16:45:20+00:00,2019-07-03 17:40:30+00:00,0.5,
ILL11,EHZ,2019-07-03 18:05:20+00:00,2019-07-03 18:50:30+00:00,0.1,
ILL11,HHZ,2019-07-15 04:07:30+00:00,2019-07-15 04:54:00+00:00,1,
ILL12,EHZ,2019-07-15 03:40:00+00:00,2019-07-15 04:15:00+00:00,1,
ILL13,EHZ,2019-07-15 03:52:00+00:00,2019-07-15 04:43:00+00:00,1,
ILL14,EHZ,2019-07-15 03:30:00+00:00,2019-07-15 04:09:00+00:00,0.5,
ILL15,EHZ,2019-07-15 03:29:00+00:00,2019-07-15 03:51:00+00:00,0.5,
ILL16,EHZ,2019-07-15 03:29:00+00:00,2019-07-15 03:52:00+00:00,0.5,
ILL17,EHZ,2019-07-15 03:29:00+00:00,2019-07-15 03:55:00+00:00,0.5,
ILL18,EHZ,2019-07-15 03:29:00+00:00,2019-07-15 03:58:00+00:00,1,
ILL11,HHZ,2019-07-26 17:44:00+00:00,2019-07-26 18:36:00+00:00,1,
ILL12,EHZ,2019-07-26 17:33:00+00:00,2019-07-26 18:32:00+00:00,1,
ILL13,EHZ,2019-07-26 17:35:00+00:00,2019-07-26 18:41:00+00:00,1,
ILL14,EHZ,2019-07-26 17:26:00+00:00,2019-07-26 18:07:00+00:00,1,
ILL15,EHZ,2019-07-26 17:26:00+00:00,2019-07-26 18:15:00+00:00,0.5,
ILL16,EHZ,2019-07-26 17:26:00+00:00,2019-07-26 18:11:00+00:00,1,
