station,start,stop,confidence
ILL11,2019-07-02 09:37:00+00:00,2019-07-02 09:38:00+00:00,earthquake
ILL11,2019-07-02 22:38:00+00:00,2019-07-02 23:28:00+00:00,high
ILL11,2019-07-02 23:14:00+00:00,2019-07-02 23:14:00+00:00,earthquake
ILL11,2019-07-15 04:11:00+00:00,2019-07-15 04:54:00+00:00,high
ILL11,2019-07-26 17:44:00+00:00,2019-07-26 18:36:00+00:00,high
ILL11,2019-08-11 17:05:00+00:00,2019-08-11 18:15:00+00:00,high
ILL11,2019-08-20 16:53:00+00:00,2019-08-20 17:49:00+00:00,high
ILL11,2020-06-04 15:27:00+00:00,2020-06-04 17:23:00+00:00,high
ILL11,2020-06-08 17:18:00+00:00,2020-06-08 19:07:00+00:00,high
ILL11,2020-06-17 03:45:00+00:00,2020-06-17 06:11:00+00:00,high
ILL11,2020-06-29 05:14:00+00:00,2020-06-29 06:13:00+00:00,high
ILL11,2020-08-16 22:02:00+00:00,2020-08-16 23:56:00+00:00,high
ILL11,2020-08-30 05:44:00+00:00,2020-08-30 07:23:00+00:00,high
ILL11,2020-08-30 08:00:00+00:00,2020-08-30 08:52:00+00:00,high
ILL11,2021-05-11 04:02:00+00:00,2021-05-11 14:07:00+00:00,med
ILL11,2021-05-11 14:09:00+00:00,2021-05-11 16:40:00+00:00,high
ILL11,2021-05-12 03:58:00+00:00,2021-05-12 09:38:00+00:00,low
ILL11,2021-05-16 16:21:00+00:00,2021-05-16 20:30:00+00:00,high
ILL11,2021-05-21 23:11:00+00:00,2021-05-22 00:25:00+00:00,high
ILL11,2021-06-05 09:39:00+00:00,2021-06-05 11:52:00+00:00,high
ILL11,2021-06-24 15:21:00+00:00,2021-06-24 16:25:00+00:00,high
ILL11,2021-07-06 18:55:00+00:00,2021-07-06 19:48:00+00:00,high
ILL11,2021-07-13 06:35:00+00:00,2021-07-13 09:50:00+00:00,high
ILL11,2021-07-13 16:19:00+00:00,2021-07-13 18:34:00+00:00,high
ILL11,2021-07-16 03:58:00+00:00,2021-07-16 05:03:00+00:00,high
ILL11,2021-08-07 14:32:00+00:00,2021-08-07 15:53:00+00:00,high
ILL11,2021-09-19 06:38:00+00:00,2021-09-19 07:51:00+00:00,high
ILL11,2021-09-19 09:03:00+00:00,2021-09-19 10:45:00+00:00,med
ILL12,2018-06-11 04:28:00+00:00,2018-06-11 15:48:00+00:00,high
ILL12,2018-06-12 18:06:00+00:00,2018-06-12 20:23:00+00:00,high
ILL12,2018-07-25 16:51:00+00:00,2018-07-25 17:32:00+00:00,high
ILL12,2018-08-08 17:46:00+00:00,2018-08-08 18:10:00+00:00,high
ILL12,2019-06-10 17:16:00+00:00,2019-06-10 18:55:00+00:00,high
